Username,Rapid Rating,Blitz Rating,Puzzle Rating
aaronk1ng,1397,1180,1982
aaronkeddie,1166,1222,1098
aaronlaiyiengheng,1047,869,745
aaronlambert,1382,1384,1881
aaronlange,1430,1174,1285
aaronlev210,1393,993,1703
aaronlikesgogs1234,1072,724,1011
aaronlin08,520,638,485
aaronm97,699,731,1356
aaronmason01,846,644,531
aaronmedcalf,1095,788,1740
aaronmorgan3011,680,650,893
aaronrkiss,912,942,1386
aarons76,590,594,566
aarons92,959,897,1219
aaronshort,1080,997,926
aaronsmannequin,901,634,1118
aaronsomebody,1060,590,439
aaronwvtts,1229,1345,2302
aaronxxiv,524,236,411
aaronzimpel,962,463,1120
aaron_bell,845,631,595
aaron_kahland,1002,974,1431
aarules234,1004,1571,2268
aaryagadham,734,781,387
aaryanissick,1085,670,956
aaryasood,492,141,490
aatata,919,735,886
aathavanshan,1422,1112,1419
aatta,1243,607,1106
aattrox,776,622,857
aawman,876,429,410
aayan2012,1616,1542,1713
aayan2015,1667,1587,2618
aayanejaz,845,1092,425
aayankum,544,422,486
aaydenjrena,432,404,1088
aayu-patel,1329,1428,1010
aayush77700,821,1009,436
aa_1b,1221,973,1645
ab0105,901,1063,462
ab6262,567,483,419
ab91103,1331,743,1476
ab959,970,815,1865
abababs,863,473,1245
ababic404,992,977,822
ababyelephant,1030,1335,940
abadcharacter,1382,1202,879
abaddon299,1240,1093,1484
abaganuve,1633,1506,1646
abaird03,1359,1077,1571
abakik,1438,1044,1758
abaluhya,1007,1600,1099
abanana79,919,713,793
abang_bobby,1068,722,820
abankub,783,1398,403
abarrak,1209,989,821
abas0011,1026,775,1383
abasne10,1473,1021,1321
abax27,1136,1046,949
abaxius,915,419,1240
abbacddc,995,1105,1595
abbakus,1473,391,1200
abbasgholimirza,1636,1883,2768
abbeforththe2nd,795,1044,622
abbiemac_26,755,690,458
abbienp,1048,779,811
abbmej,1122,624,767
abbreviations,1264,1029,1407
abbsofsteel,954,968,948
abbygonzales,1399,1217,808
abc202009,1077,745,1981
abcdefghij62,811,719,393
abcdefgu,1776,1739,2483
abcpassword123,993,780,1186
abczyxabczyx,1341,828,2096
abc_oxl,1167,980,1927
abdifatahai,1028,500,1051
abdoo12,1074,1075,2015
abdulfatahnebi,1192,1107,1449
abduselam1,1299,1213,1003
abe123442,1373,1307,1809
abedoc11,1146,1051,870
abee247,832,647,1050
abekensir,971,817,1689
abekhalil,1654,1679,2175
abelewis97,1060,806,1193
abelfarrell,1121,929,1142
abelhawkins,1194,1159,1485
abenje,989,767,1372
abesanchez43,1316,1157,1978
abetribe,924,648,1285
abeywardhana,351,903,387
abezky,712,807,423
abgru,1266,1014,1911
abgupta07,786,673,403
abhay_bhatia,1612,1570,1387
abhi2900,2083,2111,1753
abhi341,1383,1299,1026
abhi35991,1265,1396,1019
abhi6672,989,748,1198
abhi9033,1247,1083,1444
abhiamr,1345,1336,1362
abhiihda,853,615,686
abhijeet351997,1203,849,1114
abhijitj,859,1209,2053
abhinav1992,465,724,652
abhinavchava,1155,799,1731
abhinavraje,1227,1015,1183
abhindm,1188,827,1831
abhishekpujari2011,185,1022,785
abhishekrenganathan,641,914,785
abhishekshaji,1214,836,846
abhisheksinghror,933,811,1201
abigaelwambugu,394,100,387
abigspookyghost,312,332,387
abilaash15,1563,1440,2292
abilioabelha,932,794,786
abinaanth,1733,1068,890
abinadi1,1074,1083,1411
abinavseeti,1109,956,636
abinitiochess,848,583,1604
abish98,404,818,389
abithekidkarpov,1043,937,847
abjectillusion,820,533,948
abjohnstone,1015,822,955
abkap1,596,238,987
ablackturtle,1307,945,1079
abm2010,775,363,1081
abmyster,644,342,445
abookunn,652,505,501
aboona1,1310,919,1688
aboosoyeed,1312,1112,2272
aboozar,1550,1461,1747
abortnowb42late,1123,599,1334
abosheski2,1486,1515,425
abotatchess2020,826,575,814
abotvenev,1518,1688,1632
aboudchess,1100,1001,1193
aboudi132,936,172,1652
aboughtlemon,932,857,1062
aboya23,1132,956,1379
abrad117,1978,2134,3077
abrahamkjohn,1373,1301,808
abrains1,443,567,794
abrakabazooka,886,460,412
abramvarghese,747,730,804
abris27,1283,1147,1362
abrohier,708,993,1202
abs977,1669,1635,1479
absapi,1006,865,803
absentfeet,839,565,1604
absol15,963,714,984
absolclaw,627,418,952
absolutedude,757,797,1327
absolutelygarbage,1305,1184,1361
absolutethrift,743,815,1158
absolutetreason,1127,751,836
absolute_ambiguity,628,276,1169
absorbs05,335,181,502
absurdpencil,963,636,1659
abuayz,1071,1213,1317
abuile,1665,1645,1848
abukleabigdog,597,405,422
abulnator,380,348,398
abuook,1316,1075,515
abusiveboganhusband,274,355,432
abusivelobster,641,280,440
abuzar13_mu,505,413,811
abuzzkillington,1003,513,1226
abyb,343,528,979
abysalinferno,870,900,746
abysmalal,808,533,1053
abysmalorange,770,544,1411
abysmxvl,415,364,427
abyssalisofficial,1367,848,1041
abz1017,1220,1070,824
abze3,1106,887,1375
abzee85,733,684,412
abzshana,1238,1047,800
abzzabzz,1141,1004,1210
ab_pro3849,636,580,968
ac-130j,847,408,522
ac11223,602,315,405
ac3shigh20,701,840,1243
